主体,图片链接
Birds_Flying_Near_Waterfall,https://art.nelson-atkins.org/internal/media/dispatcher/76635/preview;jsessionid=C4CB2B660BB44A93A6E856546A7AFFD2
Vase_in_the_Form_of_a_Jade_Cong,https://art.nelson-atkins.org/internal/media/dispatcher/27477/preview;jsessionid=C4CB2B660BB44A93A6E856546A7AFFD2
Wine_Cup,https://art.nelson-atkins.org/internal/media/dispatcher/32687/preview;jsessionid=C4CB2B660BB44A93A6E856546A7AFFD2
Ladle,https://art.nelson-atkins.org/internal/media/dispatcher/51121/preview;jsessionid=261BD96309971C843205C3C3F2327994
Atlantean_Figure_of_a_Winged_Demon,https://art.nelson-atkins.org/internal/media/dispatcher/27629/preview;jsessionid=261BD96309971C843205C3C3F2327994
Offering_Procession_of_the_Empress_as_Donor_with_Her_Court,https://art.nelson-atkins.org/internal/media/dispatcher/162347/preview;jsessionid=261BD96309971C843205C3C3F2327994
Incense_Burner,https://art.nelson-atkins.org/internal/media/dispatcher/32689/preview;jsessionid=261BD96309971C843205C3C3F2327994
Jar,https://art.nelson-atkins.org/internal/media/dispatcher/32690/preview;jsessionid=261BD96309971C843205C3C3F2327994
Many_Deer,https://art.nelson-atkins.org/internal/media/dispatcher/133156/preview;jsessionid=261BD96309971C843205C3C3F2327994
Inscribed_Oracle_Bone,https://art.nelson-atkins.org/internal/media/dispatcher/35922/preview;jsessionid=261BD96309971C843205C3C3F2327994
Kneeling_Figure,https://art.nelson-atkins.org/internal/media/dispatcher/51061/preview;jsessionid=261BD96309971C843205C3C3F2327994
Fragment_of_Maitreya_as_a_Meditating_Bodhisattva,https://art.nelson-atkins.org/internal/media/dispatcher/31485/preview;jsessionid=261BD96309971C843205C3C3F2327994
Head_of_a_Buddha,https://art.nelson-atkins.org/internal/media/dispatcher/27618/preview;jsessionid=261BD96309971C843205C3C3F2327994
Jar_with_three_cloud-shaped_feet,https://art.nelson-atkins.org/internal/media/dispatcher/21670/preview;jsessionid=261BD96309971C843205C3C3F2327994
Chair_Rug,https://art.nelson-atkins.org/internal/media/dispatcher/11626/preview;jsessionid=261BD96309971C843205C3C3F2327994
Pot,https://art.nelson-atkins.org/internal/media/dispatcher/32694/preview;jsessionid=261BD96309971C843205C3C3F2327994
Kneeling_Figure,https://art.nelson-atkins.org/internal/media/dispatcher/51057/preview;jsessionid=261BD96309971C843205C3C3F2327994
Chair,https://art.nelson-atkins.org/internal/media/dispatcher/14879/preview;jsessionid=261BD96309971C843205C3C3F2327994
Cooking_Stove,https://art.nelson-atkins.org/internal/media/dispatcher/32692/preview;jsessionid=261BD96309971C843205C3C3F2327994
Drum-shaped_Stool,https://art.nelson-atkins.org/internal/media/dispatcher/35112/preview;jsessionid=261BD96309971C843205C3C3F2327994
Ritual_Cooking_Vessel,https://art.nelson-atkins.org/internal/media/dispatcher/26422/preview;jsessionid=261BD96309971C843205C3C3F2327994
Drum-shaped_Stool,https://art.nelson-atkins.org/internal/media/dispatcher/35113/preview;jsessionid=261BD96309971C843205C3C3F2327994
Wine_Vessel,https://art.nelson-atkins.org/internal/media/dispatcher/34944/preview;jsessionid=FAA3CCBD5BCC00A2D7CC6B48F6AFC748
Temple_Hidden_Among_Lofty_Cliffs,https://art.nelson-atkins.org/internal/media/dispatcher/42131/preview;jsessionid=FAA3CCBD5BCC00A2D7CC6B48F6AFC748
Fishermen's_Evening_Song,https://art.nelson-atkins.org/internal/media/dispatcher/27567/preview;jsessionid=FAA3CCBD5BCC00A2D7CC6B48F6AFC748
Basket_of_Flowers,https://art.nelson-atkins.org/internal/media/dispatcher/57537/preview;jsessionid=FAA3CCBD5BCC00A2D7CC6B48F6AFC748
Pair_of_Coral_Hairpins,https://art.nelson-atkins.org/internal/media/dispatcher/65842/preview;jsessionid=FAA3CCBD5BCC00A2D7CC6B48F6AFC748
Ritual_Cooking_Vessel,https://art.nelson-atkins.org/internal/media/dispatcher/27451/preview;jsessionid=FAA3CCBD5BCC00A2D7CC6B48F6AFC748
Ritual_Wine_Vessel,https://art.nelson-atkins.org/internal/media/dispatcher/27463/preview;jsessionid=FAA3CCBD5BCC00A2D7CC6B48F6AFC748
Ancestor_Portrait_of_a_Court_Lady,https://art.nelson-atkins.org/internal/media/dispatcher/128328/preview;jsessionid=FAA3CCBD5BCC00A2D7CC6B48F6AFC748
Lady's_Coat,https://art.nelson-atkins.org/internal/media/dispatcher/119006/preview;jsessionid=FAA3CCBD5BCC00A2D7CC6B48F6AFC748
Figures_in_Court_Yard,https://art.nelson-atkins.org/internal/media/dispatcher/125482/preview;jsessionid=FAA3CCBD5BCC00A2D7CC6B48F6AFC748
Dragon_Robe_for_Theater,https://art.nelson-atkins.org/internal/media/dispatcher/136405/preview;jsessionid=FAA3CCBD5BCC00A2D7CC6B48F6AFC748
Inscribed_Oracle_Bone,https://art.nelson-atkins.org/internal/media/dispatcher/35924/preview;jsessionid=25FD90AFB77FFF1E71F21989BC2E7C9C
Drum-shaped_Stool,https://art.nelson-atkins.org/internal/media/dispatcher/1050/preview;jsessionid=25FD90AFB77FFF1E71F21989BC2E7C9C
"Coffered_Vault_with_Carved_Dragons,_China,_Beijing,_Zhihua_Temple",https://art.nelson-atkins.org/internal/media/dispatcher/33497/preview;jsessionid=25FD90AFB77FFF1E71F21989BC2E7C9C
Buckle,https://art.nelson-atkins.org/internal/media/dispatcher/141719/preview;jsessionid=25FD90AFB77FFF1E71F21989BC2E7C9C
The_Red_Cliff,https://art.nelson-atkins.org/internal/media/dispatcher/26310/preview;jsessionid=25FD90AFB77FFF1E71F21989BC2E7C9C
Illustration_to_the_Second_Prose_Poem_on_the_Red_Cliff,https://art.nelson-atkins.org/internal/media/dispatcher/27614/preview;jsessionid=25FD90AFB77FFF1E71F21989BC2E7C9C
Lacquered_Throne,https://art.nelson-atkins.org/internal/media/dispatcher/125541/preview;jsessionid=25FD90AFB77FFF1E71F21989BC2E7C9C
The_Arhat_Vanavasin,https://art.nelson-atkins.org/internal/media/dispatcher/13219/preview;jsessionid=25FD90AFB77FFF1E71F21989BC2E7C9C
An_Assembly_Field,https://art.nelson-atkins.org/internal/media/dispatcher/111574/preview;jsessionid=25FD90AFB77FFF1E71F21989BC2E7C9C
Kneeling_Figure,https://art.nelson-atkins.org/internal/media/dispatcher/51055/preview;jsessionid=25FD90AFB77FFF1E71F21989BC2E7C9C
Chair,https://art.nelson-atkins.org/internal/media/dispatcher/2487/preview;jsessionid=25FD90AFB77FFF1E71F21989BC2E7C9C
Bed_Spread,https://art.nelson-atkins.org/internal/media/dispatcher/6338/preview;jsessionid=25FD90AFB77FFF1E71F21989BC2E7C9C
Inscribed_Oracle_Bone,https://art.nelson-atkins.org/internal/media/dispatcher/35920/preview;jsessionid=25FD90AFB77FFF1E71F21989BC2E7C9C
Drum-shaped_Stool,https://art.nelson-atkins.org/internal/media/dispatcher/10944/preview;jsessionid=25FD90AFB77FFF1E71F21989BC2E7C9C
Wine_Jar_with_Lid_in_Form_of_the_Paradise_of_the_Immortals,https://art.nelson-atkins.org/internal/media/dispatcher/31478/preview;jsessionid=25FD90AFB77FFF1E71F21989BC2E7C9C
Kneeling_Figure,https://art.nelson-atkins.org/internal/media/dispatcher/51059/preview;jsessionid=25FD90AFB77FFF1E71F21989BC2E7C9C
"Miniature_Temples,_from_Zhihua_Temple,_Beijing,_China",https://art.nelson-atkins.org/internal/media/dispatcher/169/preview;jsessionid=25FD90AFB77FFF1E71F21989BC2E7C9C
Armchair,https://art.nelson-atkins.org/internal/media/dispatcher/4332/preview;jsessionid=B5A9852F065E4BD8FEE07441DB6F4E02
Head_of_a_Bodhisattva,https://art.nelson-atkins.org/internal/media/dispatcher/31488/preview;jsessionid=B5A9852F065E4BD8FEE07441DB6F4E02
Guqin_(古琴_),https://images.metmuseum.org/CRDImages/mi/mobile-large/DP302703.jpg
