主体,详情链接
"Ceiling_Panels,_from_Zhihua_Temple,_Beijing,_China",https://art.nelson-atkins.org/objects/30553/ceiling-panels-from-zhihua-temple-beijing-china;jsessionid=5D38EE006A15DDBA95DECC204E67FA61?ctx=baa0e7d4-c35b-496b-b338-6ce91dd2f6a3&idx=131
"Gateway_Tile_from_the_Tomb_Compound_of_Prince_Ding,_a_Son_of_the_Qianlong_Emperor",https://art.nelson-atkins.org/objects/9223/gateway-tile-from-the-tomb-compound-of-prince-ding-a-son-of;jsessionid=5D38EE006A15DDBA95DECC204E67FA61?ctx=baa0e7d4-c35b-496b-b338-6ce91dd2f6a3&idx=132
Reverent_Monk,https://art.nelson-atkins.org/objects/9060/reverent-monk;jsessionid=5D38EE006A15DDBA95DECC204E67FA61?ctx=baa0e7d4-c35b-496b-b338-6ce91dd2f6a3&idx=133
Kalavinka_Musician,https://art.nelson-atkins.org/objects/9827/kalavinka-musician;jsessionid=5D38EE006A15DDBA95DECC204E67FA61?ctx=baa0e7d4-c35b-496b-b338-6ce91dd2f6a3&idx=135
Inscribed_Oracle_Bone,https://art.nelson-atkins.org/objects/11885/inscribed-oracle-bone;jsessionid=5D38EE006A15DDBA95DECC204E67FA61?ctx=baa0e7d4-c35b-496b-b338-6ce91dd2f6a3&idx=136
Equestrian_Figure,https://art.nelson-atkins.org/objects/29248/equestrian-figure;jsessionid=5D38EE006A15DDBA95DECC204E67FA61?ctx=baa0e7d4-c35b-496b-b338-6ce91dd2f6a3&idx=138
Lady_in_Garden_with_Two_Attendants,https://art.nelson-atkins.org/objects/29400/lady-in-garden-with-two-attendants;jsessionid=5D38EE006A15DDBA95DECC204E67FA61?ctx=baa0e7d4-c35b-496b-b338-6ce91dd2f6a3&idx=139
Lady_in_Garden,https://art.nelson-atkins.org/objects/29401/lady-in-garden;jsessionid=5D38EE006A15DDBA95DECC204E67FA61?ctx=baa0e7d4-c35b-496b-b338-6ce91dd2f6a3&idx=140
Kalavinka_Musician,https://art.nelson-atkins.org/objects/29634/kalavinka-musician;jsessionid=5D38EE006A15DDBA95DECC204E67FA61?ctx=baa0e7d4-c35b-496b-b338-6ce91dd2f6a3&idx=141
Lady_Leaning_on_a_Tree,https://art.nelson-atkins.org/objects/27186/lady-leaning-on-a-tree;jsessionid=5D38EE006A15DDBA95DECC204E67FA61?ctx=baa0e7d4-c35b-496b-b338-6ce91dd2f6a3&idx=142
Standing_Attendant_Bodhisattva,https://art.nelson-atkins.org/objects/25723/standing-attendant-bodhisattva;jsessionid=5D38EE006A15DDBA95DECC204E67FA61?ctx=baa0e7d4-c35b-496b-b338-6ce91dd2f6a3&idx=143
Bead_Box,https://art.nelson-atkins.org/objects/31143/bead-box;jsessionid=C4CB2B660BB44A93A6E856546A7AFFD2?ctx=1e8519f9-ff13-40a9-be81-6edc2fae4a4b&idx=145
Magnolia_Blossoms,https://art.nelson-atkins.org/objects/31718/magnolia-blossoms;jsessionid=C4CB2B660BB44A93A6E856546A7AFFD2?ctx=1e8519f9-ff13-40a9-be81-6edc2fae4a4b&idx=147
Village_in_a_Snowy_Landscape_雪村圖,https://art.nelson-atkins.org/objects/31753/village-in-a-snowy-landscape-;jsessionid=C4CB2B660BB44A93A6E856546A7AFFD2?ctx=1e8519f9-ff13-40a9-be81-6edc2fae4a4b&idx=148
Torso_of_a_Bodhisattva_(one_of_a_pair),https://art.nelson-atkins.org/objects/26297/torso-of-a-bodhisattva-one-of-a-pair;jsessionid=C4CB2B660BB44A93A6E856546A7AFFD2?ctx=1e8519f9-ff13-40a9-be81-6edc2fae4a4b&idx=150
